State,Centre,Commodity,Variety,Unit,Category,Date,Retail Price
Rajasthan,Jaipur,Potato,FAQ,Kg.,Food,JAN-2016,10.0
Rajasthan,Jodhpur,Potato,FAQ,Kg.,Food,JAN-2016,10.0
Rajasthan,Swaimadhopur,Potato,FAQ,Kg.,Food,JAN-2016,10.0
Sikkim,Gangtok,Potato,FAQ,Kg.,Food,JAN-2016,20.0
Tamil Nadu,Chennai,Potato,FAQ,Kg.,Food,JAN-2016,22.0
Tamil Nadu,Coimbatore,Potato,FAQ,Kg.,Food,JAN-2016,28.0
Tamil Nadu,Madurai,Potato,FAQ,Kg.,Food,JAN-2016,22.0
Tamil Nadu,Salem,Potato,FAQ,Kg.,Food,JAN-2016,25.0
Telangana,Hyderabad,Potato,FAQ,Kg.,Food,JAN-2016,15.0
Tripura,Agartala,Potato,FAQ,Kg.,Food,JAN-2016,15.0
Union Territories,Portblair,Potato,FAQ,Kg.,Food,JAN-2016,24.0
Uttar Pradesh,Allahabad,Potato,FAQ,Kg.,Food,JAN-2016,8.0
Uttar Pradesh,Gorakhpur,Potato,FAQ,Kg.,Food,JAN-2016,14.0
Uttar Pradesh,Kanpur,Potato,FAQ,Kg.,Food,JAN-2016,10.0
Uttar Pradesh,Lucknow,Potato,FAQ,Kg.,Food,JAN-2016,10.0
Uttar Pradesh,Saharanpur,Potato,FAQ,Kg.,Food,JAN-2016,8.0
West Bengal,Howrah,Potato,FAQ,Kg.,Food,JAN-2016,12.0
West Bengal,Jalpaiguri,Potato,FAQ,Kg.,Food,JAN-2016,10.0
West Bengal,Kolkata,Potato,FAQ,Kg.,Food,JAN-2016,9.0
Andhra Pradesh,Chittoor,Onion,FAQ,Kg.,Food,FEB-2016,20.0
Andhra Pradesh,Guntur,Onion,FAQ,Kg.,Food,FEB-2016,15.0
Andhra Pradesh,Kurnool,Onion,FAQ,Kg.,Food,FEB-2016,16.0
Andhra Pradesh,Vishakhapatnam,Onion,FAQ,Kg.,Food,FEB-2016,20.0
Assam,Dibrugarh,Onion,FAQ,Kg.,Food,FEB-2016,17.0
Assam,Guwahati,Onion,FAQ,Kg.,Food,FEB-2016,23.0
Bihar,Patna,Onion,FAQ,Kg.,Food,FEB-2016,17.0
Goa,Panaji,Onion,FAQ,Kg.,Food,FEB-2016,20.0
Gujarat,Gandhi Nagar,Onion,FAQ,Kg.,Food,FEB-2016,15.0
Gujarat,Rajkot,Onion,FAQ,Kg.,Food,FEB-2016,15.0
Haryana,Hissar,Onion,FAQ,Kg.,Food,FEB-2016,20.0
Himachal Pradesh,Mandi,Onion,FAQ,Kg.,Food,FEB-2016,20.0
Jammu Kashmir,Jammu,Onion,FAQ,Kg.,Food,FEB-2016,18.0
Jharkhand,Ranchi,Onion,FAQ,Kg.,Food,FEB-2016,16.0
Karnataka,Bangalore,Onion,FAQ,Kg.,Food,FEB-2016,15.0
Karnataka,Hubli,Onion,FAQ,Kg.,Food,FEB-2016,18.0
Kerala,Ernakulam,Onion,FAQ,Kg.,Food,FEB-2016,30.0
Kerala,Khozhikode,Onion,FAQ,Kg.,Food,FEB-2016,18.0
Kerala,Trivandrum,Onion,FAQ,Kg.,Food,FEB-2016,22.0
Madhya Pradesh,Bhopal,Onion,FAQ,Kg.,Food,FEB-2016,15.0
Maharashtra,Mumbai,Onion,FAQ,Kg.,Food,FEB-2016,20.0
Maharashtra,Nagpur,Onion,FAQ,Kg.,Food,FEB-2016,13.0
Manipur,Imphal,Onion,FAQ,Kg.,Food,FEB-2016,25.0
Meghalaya,Shillong,Onion,FAQ,Kg.,Food,FEB-2016,24.0
Mizoram,Aizwal,Onion,FAQ,Kg.,Food,FEB-2016,40.0
National Capital,Delhi,Onion,FAQ,Kg.,Food,FEB-2016,26.0
Orissa,Bhubneshwar,Onion,FAQ,Kg.,Food,FEB-2016,16.0
Orissa,Cuttack,Onion,FAQ,Kg.,Food,FEB-2016,16.0
Punjab,Amritsar,Onion,FAQ,Kg.,Food,FEB-2016,20.0
Rajasthan,Dausa,Onion,FAQ,Kg.,Food,FEB-2016,20.0
Rajasthan,Jaipur,Onion,FAQ,Kg.,Food,FEB-2016,22.0
Rajasthan,Jodhpur,Onion,FAQ,Kg.,Food,FEB-2016,15.0
Sikkim,Gangtok,Onion,FAQ,Kg.,Food,FEB-2016,25.0
Tamil Nadu,Chennai,Onion,FAQ,Kg.,Food,FEB-2016,22.0
Tamil Nadu,Coimbatore,Onion,FAQ,Kg.,Food,FEB-2016,16.0
Tamil Nadu,Madurai,Onion,FAQ,Kg.,Food,FEB-2016,20.0
Tamil Nadu,Salem,Onion,FAQ,Kg.,Food,FEB-2016,20.0
Telangana,Hyderabad,Onion,FAQ,Kg.,Food,FEB-2016,15.0
Tripura,Agartala,Onion,FAQ,Kg.,Food,FEB-2016,18.0
Union Territories,Portblair,Onion,FAQ,Kg.,Food,FEB-2016,30.0
Uttar Pradesh,Allahabad,Onion,FAQ,Kg.,Food,FEB-2016,20.0
Uttar Pradesh,Gorakhpur,Onion,FAQ,Kg.,Food,FEB-2016,15.0
Uttar Pradesh,Kanpur,Onion,FAQ,Kg.,Food,FEB-2016,20.0
Uttar Pradesh,Lucknow,Onion,FAQ,Kg.,Food,FEB-2016,16.0
Uttar Pradesh,Saharanpur,Onion,FAQ,Kg.,Food,FEB-2016,20.0
West Bengal,Asansol,Onion,FAQ,Kg.,Food,FEB-2016,18.0
West Bengal,Howrah,Onion,FAQ,Kg.,Food,FEB-2016,20.0
West Bengal,Jalpaiguri,Onion,FAQ,Kg.,Food,FEB-2016,25.0
West Bengal,Kolkata,Onion,FAQ,Kg.,Food,FEB-2016,15.0
Andhra Pradesh,Chittoor,Potato,FAQ,Kg.,Food,FEB-2016,20.0
Andhra Pradesh,Guntur,Potato,FAQ,Kg.,Food,FEB-2016,19.0
Andhra Pradesh,Kurnool,Potato,FAQ,Kg.,Food,FEB-2016,20.0
Andhra Pradesh,Vishakhapatnam,Potato,FAQ,Kg.,Food,FEB-2016,10.0
Assam,Dibrugarh,Potato,FAQ,Kg.,Food,FEB-2016,12.0
Assam,Guwahati,Potato,FAQ,Kg.,Food,FEB-2016,13.0
Bihar,Patna,Potato,FAQ,Kg.,Food,FEB-2016,11.0
Goa,Panaji,Potato,FAQ,Kg.,Food,FEB-2016,20.0
Gujarat,Gandhi Nagar,Potato,FAQ,Kg.,Food,FEB-2016,16.0
Gujarat,Rajkot,Potato,FAQ,Kg.,Food,FEB-2016,10.0
Haryana,Hissar,Potato,FAQ,Kg.,Food,FEB-2016,10.0
Himachal Pradesh,Mandi,Potato,FAQ,Kg.,Food,FEB-2016,10.0
Jammu Kashmir,Jammu,Potato,FAQ,Kg.,Food,FEB-2016,15.0
Jharkhand,Ranchi,Potato,FAQ,Kg.,Food,FEB-2016,12.0
Karnataka,Bangalore,Potato,FAQ,Kg.,Food,FEB-2016,20.0
Karnataka,Hubli,Potato,FAQ,Kg.,Food,FEB-2016,20.0
Kerala,Ernakulam,Potato,FAQ,Kg.,Food,FEB-2016,26.0
Kerala,Khozhikode,Potato,FAQ,Kg.,Food,FEB-2016,22.0
Kerala,Trivandrum,Potato,FAQ,Kg.,Food,FEB-2016,26.0
Madhya Pradesh,Bhopal,Potato,FAQ,Kg.,Food,FEB-2016,8.0
Maharashtra,Mumbai,Potato,FAQ,Kg.,Food,FEB-2016,24.0
Maharashtra,Nagpur,Potato,FAQ,Kg.,Food,FEB-2016,12.0
Manipur,Imphal,Potato,FAQ,Kg.,Food,FEB-2016,18.0
Meghalaya,Shillong,Potato,FAQ,Kg.,Food,FEB-2016,14.0
Mizoram,Aizwal,Potato,FAQ,Kg.,Food,FEB-2016,20.0
National Capital,Delhi,Potato,FAQ,Kg.,Food,FEB-2016,12.0
Orissa,Bhubneshwar,Potato,FAQ,Kg.,Food,FEB-2016,13.0
Orissa,Cuttack,Potato,FAQ,Kg.,Food,FEB-2016,13.0
Punjab,Amritsar,Potato,FAQ,Kg.,Food,FEB-2016,10.0
Rajasthan,Dausa,Potato,FAQ,Kg.,Food,FEB-2016,15.0
Rajasthan,Jaipur,Potato,FAQ,Kg.,Food,FEB-2016,12.0
Rajasthan,Jodhpur,Potato,FAQ,Kg.,Food,FEB-2016,10.0
Sikkim,Gangtok,Potato,FAQ,Kg.,Food,FEB-2016,20.0
Tamil Nadu,Chennai,Potato,FAQ,Kg.,Food,FEB-2016,24.0
Tamil Nadu,Coimbatore,Potato,FAQ,Kg.,Food,FEB-2016,30.0
Tamil Nadu,Madurai,Potato,FAQ,Kg.,Food,FEB-2016,20.0
Tamil Nadu,Salem,Potato,FAQ,Kg.,Food,FEB-2016,25.0
Telangana,Hyderabad,Potato,FAQ,Kg.,Food,FEB-2016,15.0
Tripura,Agartala,Potato,FAQ,Kg.,Food,FEB-2016,12.0
Union Territories,Portblair,Potato,FAQ,Kg.,Food,FEB-2016,25.0
Uttar Pradesh,Allahabad,Potato,FAQ,Kg.,Food,FEB-2016,9.0
Uttar Pradesh,Gorakhpur,Potato,FAQ,Kg.,Food,FEB-2016,10.0
Uttar Pradesh,Kanpur,Potato,FAQ,Kg.,Food,FEB-2016,10.0
Uttar Pradesh,Lucknow,Potato,FAQ,Kg.,Food,FEB-2016,10.0
Uttar Pradesh,Saharanpur,Potato,FAQ,Kg.,Food,FEB-2016,8.0
West Bengal,Asansol,Potato,FAQ,Kg.,Food,FEB-2016,10.0
West Bengal,Howrah,Potato,FAQ,Kg.,Food,FEB-2016,12.0
West Bengal,Jalpaiguri,Potato,FAQ,Kg.,Food,FEB-2016,10.0
West Bengal,Kolkata,Potato,FAQ,Kg.,Food,FEB-2016,14.0
Andhra Pradesh,Chittoor,Onion,FAQ,Kg.,Food,MAR-2016,14.0
Andhra Pradesh,Guntur,Onion,FAQ,Kg.,Food,MAR-2016,15.0
Andhra Pradesh,Vishakhapatnam,Onion,FAQ,Kg.,Food,MAR-2016,15.0
Assam,Dibrugarh,Onion,FAQ,Kg.,Food,MAR-2016,20.0
Assam,Guwahati,Onion,FAQ,Kg.,Food,MAR-2016,21.0
Bihar,Patna,Onion,FAQ,Kg.,Food,MAR-2016,17.0
Goa,Panaji,Onion,FAQ,Kg.,Food,MAR-2016,20.0
Gujarat,Gandhi Nagar,Onion,FAQ,Kg.,Food,MAR-2016,16.0
Gujarat,Rajkot,Onion,FAQ,Kg.,Food,MAR-2016,15.0
Haryana,Hissar,Onion,FAQ,Kg.,Food,MAR-2016,20.0
Himachal Pradesh,Mandi,Onion,FAQ,Kg.,Food,MAR-2016,20.0
Jharkhand,Ranchi,Onion,FAQ,Kg.,Food,MAR-2016,16.0
Karnataka,Bangalore,Onion,FAQ,Kg.,Food,MAR-2016,15.0
Karnataka,Hubli,Onion,FAQ,Kg.,Food,MAR-2016,15.0
Kerala,Ernakulam,Onion,FAQ,Kg.,Food,MAR-2016,24.0
Kerala,Khozhikode,Onion,FAQ,Kg.,Food,MAR-2016,15.0
Kerala,Trivandrum,Onion,FAQ,Kg.,Food,MAR-2016,20.0
Madhya Pradesh,Bhopal,Onion,FAQ,Kg.,Food,MAR-2016,12.0
Maharashtra,Mumbai,Onion,FAQ,Kg.,Food,MAR-2016,18.0
Manipur,Imphal,Onion,FAQ,Kg.,Food,MAR-2016,20.0
Meghalaya,Shillong,Onion,FAQ,Kg.,Food,MAR-2016,19.0
Mizoram,Aizwal,Onion,FAQ,Kg.,Food,MAR-2016,40.0
Nagaland,Kohima,Onion,FAQ,Kg.,Food,MAR-2016,50.0
National Capital,Delhi,Onion,FAQ,Kg.,Food,MAR-2016,22.0
Orissa,Bhubneshwar,Onion,FAQ,Kg.,Food,MAR-2016,15.0
Orissa,Cuttack,Onion,FAQ,Kg.,Food,MAR-2016,15.0
Punjab,Amritsar,Onion,FAQ,Kg.,Food,MAR-2016,20.0
Rajasthan,Dausa,Onion,FAQ,Kg.,Food,MAR-2016,20.0
Rajasthan,Jaipur,Onion,FAQ,Kg.,Food,MAR-2016,20.0
Rajasthan,Jodhpur,Onion,FAQ,Kg.,Food,MAR-2016,15.0
Sikkim,Gangtok,Onion,FAQ,Kg.,Food,MAR-2016,20.0
Tamil Nadu,Chennai,Onion,FAQ,Kg.,Food,MAR-2016,16.0
Tamil Nadu,Coimbatore,Onion,FAQ,Kg.,Food,MAR-2016,16.0
Tamil Nadu,Madurai,Onion,FAQ,Kg.,Food,MAR-2016,20.0
Tamil Nadu,Salem,Onion,FAQ,Kg.,Food,MAR-2016,20.0
Telangana,Hyderabad,Onion,FAQ,Kg.,Food,MAR-2016,13.0
Tripura,Agartala,Onion,FAQ,Kg.,Food,MAR-2016,20.0
Union Territories,Portblair,Onion,FAQ,Kg.,Food,MAR-2016,25.0
Uttar Pradesh,Allahabad,Onion,FAQ,Kg.,Food,MAR-2016,20.0
Uttar Pradesh,Kanpur,Onion,FAQ,Kg.,Food,MAR-2016,16.0
Uttar Pradesh,Lucknow,Onion,FAQ,Kg.,Food,MAR-2016,16.0
West Bengal,Howrah,Onion,FAQ,Kg.,Food,MAR-2016,16.0
West Bengal,Jalpaiguri,Onion,FAQ,Kg.,Food,MAR-2016,20.0
West Bengal,Kolkata,Onion,FAQ,Kg.,Food,MAR-2016,17.0
Andhra Pradesh,Chittoor,Potato,FAQ,Kg.,Food,MAR-2016,20.0
Andhra Pradesh,Guntur,Potato,FAQ,Kg.,Food,MAR-2016,20.0
Andhra Pradesh,Vishakhapatnam,Potato,FAQ,Kg.,Food,MAR-2016,20.0
Assam,Dibrugarh,Potato,FAQ,Kg.,Food,MAR-2016,18.0
Assam,Guwahati,Potato,FAQ,Kg.,Food,MAR-2016,14.0
Bihar,Patna,Potato,FAQ,Kg.,Food,MAR-2016,12.0
Goa,Panaji,Potato,FAQ,Kg.,Food,MAR-2016,27.0
Gujarat,Gandhi Nagar,Potato,FAQ,Kg.,Food,MAR-2016,16.0
Gujarat,Rajkot,Potato,FAQ,Kg.,Food,MAR-2016,10.0
Haryana,Hissar,Potato,FAQ,Kg.,Food,MAR-2016,12.0
Himachal Pradesh,Mandi,Potato,FAQ,Kg.,Food,MAR-2016,12.0
Jharkhand,Ranchi,Potato,FAQ,Kg.,Food,MAR-2016,13.0
Karnataka,Bangalore,Potato,FAQ,Kg.,Food,MAR-2016,20.0
Karnataka,Hubli,Potato,FAQ,Kg.,Food,MAR-2016,20.0
Kerala,Ernakulam,Potato,FAQ,Kg.,Food,MAR-2016,26.0
Kerala,Khozhikode,Potato,FAQ,Kg.,Food,MAR-2016,22.0
Kerala,Trivandrum,Potato,FAQ,Kg.,Food,MAR-2016,28.0
Madhya Pradesh,Bhopal,Potato,FAQ,Kg.,Food,MAR-2016,8.0
Maharashtra,Mumbai,Potato,FAQ,Kg.,Food,MAR-2016,24.0
Manipur,Imphal,Potato,FAQ,Kg.,Food,MAR-2016,20.0
Meghalaya,Shillong,Potato,FAQ,Kg.,Food,MAR-2016,17.0
Mizoram,Aizwal,Potato,FAQ,Kg.,Food,MAR-2016,25.0
Nagaland,Kohima,Potato,FAQ,Kg.,Food,MAR-2016,25.0
National Capital,Delhi,Potato,FAQ,Kg.,Food,MAR-2016,12.0
Orissa,Bhubneshwar,Potato,FAQ,Kg.,Food,MAR-2016,16.0
Orissa,Cuttack,Potato,FAQ,Kg.,Food,MAR-2016,16.0
Punjab,Amritsar,Potato,FAQ,Kg.,Food,MAR-2016,10.0
Rajasthan,Dausa,Potato,FAQ,Kg.,Food,MAR-2016,15.0
Rajasthan,Jaipur,Potato,FAQ,Kg.,Food,MAR-2016,10.0
Rajasthan,Jodhpur,Potato,FAQ,Kg.,Food,MAR-2016,12.0
Sikkim,Gangtok,Potato,FAQ,Kg.,Food,MAR-2016,20.0
Tamil Nadu,Chennai,Potato,FAQ,Kg.,Food,MAR-2016,17.0
Tamil Nadu,Coimbatore,Potato,FAQ,Kg.,Food,MAR-2016,24.0
Tamil Nadu,Madurai,Potato,FAQ,Kg.,Food,MAR-2016,20.0
Tamil Nadu,Salem,Potato,FAQ,Kg.,Food,MAR-2016,25.0
Telangana,Hyderabad,Potato,FAQ,Kg.,Food,MAR-2016,15.0
Tripura,Agartala,Potato,FAQ,Kg.,Food,MAR-2016,20.0
Union Territories,Portblair,Potato,FAQ,Kg.,Food,MAR-2016,30.0
Uttar Pradesh,Allahabad,Potato,FAQ,Kg.,Food,MAR-2016,12.0
Uttar Pradesh,Kanpur,Potato,FAQ,Kg.,Food,MAR-2016,14.0
Uttar Pradesh,Lucknow,Potato,FAQ,Kg.,Food,MAR-2016,12.0
West Bengal,Howrah,Potato,FAQ,Kg.,Food,MAR-2016,17.0
West Bengal,Jalpaiguri,Potato,FAQ,Kg.,Food,MAR-2016,12.0
West Bengal,Kolkata,Potato,FAQ,Kg.,Food,MAR-2016,18.0
Andhra Pradesh,Chittoor,Onion,FAQ,Kg.,Food,APR-2016,15.0
Andhra Pradesh,Guntur,Onion,FAQ,Kg.,Food,APR-2016,15.0
Andhra Pradesh,Kurnool,Onion,FAQ,Kg.,Food,APR-2016,12.0
Andhra Pradesh,Vishakhapatnam,Onion,FAQ,Kg.,Food,APR-2016,20.0
Assam,Dibrugarh,Onion,FAQ,Kg.,Food,APR-2016,16.0
Assam,Guwahati,Onion,FAQ,Kg.,Food,APR-2016,19.0
Bihar,Patna,Onion,FAQ,Kg.,Food,APR-2016,15.0
Goa,Panaji,Onion,FAQ,Kg.,Food,APR-2016,18.0
Gujarat,Gandhi Nagar,Onion,FAQ,Kg.,Food,APR-2016,17.0
Haryana,Hissar,Onion,FAQ,Kg.,Food,APR-2016,12.0
Himachal Pradesh,Mandi,Onion,FAQ,Kg.,Food,APR-2016,15.0
Jammu Kashmir,Jammu,Onion,FAQ,Kg.,Food,APR-2016,20.0
Jharkhand,Ranchi,Onion,FAQ,Kg.,Food,APR-2016,17.0
Karnataka,Bangalore,Onion,FAQ,Kg.,Food,APR-2016,15.0
Karnataka,Hubli,Onion,FAQ,Kg.,Food,APR-2016,15.0
Kerala,Ernakulam,Onion,FAQ,Kg.,Food,APR-2016,36.0
Kerala,Khozhikode,Onion,FAQ,Kg.,Food,APR-2016,16.0
Kerala,Trivandrum,Onion,FAQ,Kg.,Food,APR-2016,20.0
Madhya Pradesh,Bhopal,Onion,FAQ,Kg.,Food,APR-2016,15.0
Maharashtra,Mumbai,Onion,FAQ,Kg.,Food,APR-2016,16.0
Manipur,Imphal,Onion,FAQ,Kg.,Food,APR-2016,20.0
Meghalaya,Shillong,Onion,FAQ,Kg.,Food,APR-2016,19.0
Mizoram,Aizwal,Onion,FAQ,Kg.,Food,APR-2016,30.0
National Capital,Delhi,Onion,FAQ,Kg.,Food,APR-2016,20.0
Orissa,Bhubneshwar,Onion,FAQ,Kg.,Food,APR-2016,15.0
Orissa,Cuttack,Onion,FAQ,Kg.,Food,APR-2016,15.0
Rajasthan,Dausa,Onion,FAQ,Kg.,Food,APR-2016,15.0
Rajasthan,Jaipur,Onion,FAQ,Kg.,Food,APR-2016,18.0
Rajasthan,Jodhpur,Onion,FAQ,Kg.,Food,APR-2016,10.0
Sikkim,Gangtok,Onion,FAQ,Kg.,Food,APR-2016,20.0
Tamil Nadu,Chennai,Onion,FAQ,Kg.,Food,APR-2016,19.0
Tamil Nadu,Coimbatore,Onion,FAQ,Kg.,Food,APR-2016,18.0
Tamil Nadu,Madurai,Onion,FAQ,Kg.,Food,APR-2016,18.0
Tamil Nadu,Salem,Onion,FAQ,Kg.,Food,APR-2016,20.0
Telangana,Hyderabad,Onion,FAQ,Kg.,Food,APR-2016,15.0
Tripura,Agartala,Onion,FAQ,Kg.,Food,APR-2016,20.0
Union Territories,Portblair,Onion,FAQ,Kg.,Food,APR-2016,30.0
Uttar Pradesh,Allahabad,Onion,FAQ,Kg.,Food,APR-2016,15.0
Uttar Pradesh,Kanpur,Onion,FAQ,Kg.,Food,APR-2016,15.0
Uttar Pradesh,Lucknow,Onion,FAQ,Kg.,Food,APR-2016,15.0
Uttar Pradesh,Saharanpur,Onion,FAQ,Kg.,Food,APR-2016,18.0
West Bengal,Asansol,Onion,FAQ,Kg.,Food,APR-2016,14.0
West Bengal,Howrah,Onion,FAQ,Kg.,Food,APR-2016,15.0
West Bengal,Jalpaiguri,Onion,FAQ,Kg.,Food,APR-2016,15.0
West Bengal,Kolkata,Onion,FAQ,Kg.,Food,APR-2016,12.0
Andhra Pradesh,Chittoor,Potato,FAQ,Kg.,Food,APR-2016,26.0
Andhra Pradesh,Guntur,Potato,FAQ,Kg.,Food,APR-2016,22.0
Andhra Pradesh,Kurnool,Potato,FAQ,Kg.,Food,APR-2016,20.0
Andhra Pradesh,Vishakhapatnam,Potato,FAQ,Kg.,Food,APR-2016,20.0
Assam,Dibrugarh,Potato,FAQ,Kg.,Food,APR-2016,16.0
Assam,Guwahati,Potato,FAQ,Kg.,Food,APR-2016,16.0
Bihar,Patna,Potato,FAQ,Kg.,Food,APR-2016,14.0
Goa,Panaji,Potato,FAQ,Kg.,Food,APR-2016,25.0
Gujarat,Gandhi Nagar,Potato,FAQ,Kg.,Food,APR-2016,21.0
Haryana,Hissar,Potato,FAQ,Kg.,Food,APR-2016,15.0
Himachal Pradesh,Mandi,Potato,FAQ,Kg.,Food,APR-2016,13.0
Jammu Kashmir,Jammu,Potato,FAQ,Kg.,Food,APR-2016,15.0
Jharkhand,Ranchi,Potato,FAQ,Kg.,Food,APR-2016,15.0
Karnataka,Bangalore,Potato,FAQ,Kg.,Food,APR-2016,25.0
Karnataka,Hubli,Potato,FAQ,Kg.,Food,APR-2016,20.0
Kerala,Ernakulam,Potato,FAQ,Kg.,Food,APR-2016,28.0
Kerala,Khozhikode,Potato,FAQ,Kg.,Food,APR-2016,24.0
Kerala,Trivandrum,Potato,FAQ,Kg.,Food,APR-2016,30.0
Madhya Pradesh,Bhopal,Potato,FAQ,Kg.,Food,APR-2016,15.0
Maharashtra,Mumbai,Potato,FAQ,Kg.,Food,APR-2016,24.0
Manipur,Imphal,Potato,FAQ,Kg.,Food,APR-2016,20.0
Meghalaya,Shillong,Potato,FAQ,Kg.,Food,APR-2016,19.0
Mizoram,Aizwal,Potato,FAQ,Kg.,Food,APR-2016,25.0
National Capital,Delhi,Potato,FAQ,Kg.,Food,APR-2016,15.0
Orissa,Bhubneshwar,Potato,FAQ,Kg.,Food,APR-2016,20.0
Orissa,Cuttack,Potato,FAQ,Kg.,Food,APR-2016,20.0
Rajasthan,Dausa,Potato,FAQ,Kg.,Food,APR-2016,15.0
Rajasthan,Jaipur,Potato,FAQ,Kg.,Food,APR-2016,17.0
Rajasthan,Jodhpur,Potato,FAQ,Kg.,Food,APR-2016,15.0
Sikkim,Gangtok,Potato,FAQ,Kg.,Food,APR-2016,20.0
Tamil Nadu,Chennai,Potato,FAQ,Kg.,Food,APR-2016,22.0
Tamil Nadu,Coimbatore,Potato,FAQ,Kg.,Food,APR-2016,30.0
Tamil Nadu,Madurai,Potato,FAQ,Kg.,Food,APR-2016,25.0
Tamil Nadu,Salem,Potato,FAQ,Kg.,Food,APR-2016,25.0
Telangana,Hyderabad,Potato,FAQ,Kg.,Food,APR-2016,20.0
Tripura,Agartala,Potato,FAQ,Kg.,Food,APR-2016,22.0
Union Territories,Portblair,Potato,FAQ,Kg.,Food,APR-2016,30.0
Uttar Pradesh,Allahabad,Potato,FAQ,Kg.,Food,APR-2016,12.0
Uttar Pradesh,Kanpur,Potato,FAQ,Kg.,Food,APR-2016,15.0
Uttar Pradesh,Lucknow,Potato,FAQ,Kg.,Food,APR-2016,15.0
Uttar Pradesh,Saharanpur,Potato,FAQ,Kg.,Food,APR-2016,12.0
West Bengal,Asansol,Potato,FAQ,Kg.,Food,APR-2016,18.0
West Bengal,Howrah,Potato,FAQ,Kg.,Food,APR-2016,17.0
West Bengal,Jalpaiguri,Potato,FAQ,Kg.,Food,APR-2016,14.0
West Bengal,Kolkata,Potato,FAQ,Kg.,Food,APR-2016,20.0
Andhra Pradesh,Chittoor,Onion,FAQ,Kg.,Food,MAY-2016,18.0
Andhra Pradesh,Guntur,Onion,FAQ,Kg.,Food,MAY-2016,15.0
Andhra Pradesh,Kurnool,Onion,FAQ,Kg.,Food,MAY-2016,15.0
Andhra Pradesh,Vishakhapatnam,Onion,FAQ,Kg.,Food,MAY-2016,15.0
Assam,Dibrugarh,Onion,FAQ,Kg.,Food,MAY-2016,19.0
Assam,Dispur,Onion,FAQ,Kg.,Food,MAY-2016,19.0
Assam,Guwahati,Onion,FAQ,Kg.,Food,MAY-2016,19.0
Assam,Silchar,Onion,FAQ,Kg.,Food,MAY-2016,19.0
Bihar,Patna,Onion,FAQ,Kg.,Food,MAY-2016,14.0
Goa,Panaji,Onion,FAQ,Kg.,Food,MAY-2016,18.0
Gujarat,Gandhi Nagar,Onion,FAQ,Kg.,Food,MAY-2016,15.0
Gujarat,Rajkot,Onion,FAQ,Kg.,Food,MAY-2016,15.0
Haryana,Hissar,Onion,FAQ,Kg.,Food,MAY-2016,10.0
Himachal Pradesh,Mandi,Onion,FAQ,Kg.,Food,MAY-2016,15.0
Jammu Kashmir,Jammu,Onion,FAQ,Kg.,Food,MAY-2016,15.0
Jharkhand,Ranchi,Onion,FAQ,Kg.,Food,MAY-2016,15.0
Karnataka,Bangalore,Onion,FAQ,Kg.,Food,MAY-2016,14.0
Karnataka,Hubli,Onion,FAQ,Kg.,Food,MAY-2016,15.0
Kerala,Ernakulam,Onion,FAQ,Kg.,Food,MAY-2016,40.0
Kerala,Khozhikode,Onion,FAQ,Kg.,Food,MAY-2016,16.0
Kerala,Trivandrum,Onion,FAQ,Kg.,Food,MAY-2016,22.0
Madhya Pradesh,Bhopal,Onion,FAQ,Kg.,Food,MAY-2016,8.0
Maharashtra,Mumbai,Onion,FAQ,Kg.,Food,MAY-2016,20.0
Manipur,Imphal,Onion,FAQ,Kg.,Food,MAY-2016,25.0
Meghalaya,Shillong,Onion,FAQ,Kg.,Food,MAY-2016,22.0
Mizoram,Aizwal,Onion,FAQ,Kg.,Food,MAY-2016,30.0
National Capital,Delhi,Onion,FAQ,Kg.,Food,MAY-2016,20.0
Orissa,Bhubneshwar,Onion,FAQ,Kg.,Food,MAY-2016,15.0
Orissa,Cuttack,Onion,FAQ,Kg.,Food,MAY-2016,14.0
Rajasthan,Dausa,Onion,FAQ,Kg.,Food,MAY-2016,15.0
Rajasthan,Jaipur,Onion,FAQ,Kg.,Food,MAY-2016,16.0
Rajasthan,Jodhpur,Onion,FAQ,Kg.,Food,MAY-2016,8.0
Tamil Nadu,Chennai,Onion,FAQ,Kg.,Food,MAY-2016,20.0
Tamil Nadu,Coimbatore,Onion,FAQ,Kg.,Food,MAY-2016,16.0
Tamil Nadu,Madurai,Onion,FAQ,Kg.,Food,MAY-2016,20.0
Tamil Nadu,Salem,Onion,FAQ,Kg.,Food,MAY-2016,15.0
Telangana,Hyderabad,Onion,FAQ,Kg.,Food,MAY-2016,17.0
Tripura,Agartala,Onion,FAQ,Kg.,Food,MAY-2016,20.0
Union Territories,Portblair,Onion,FAQ,Kg.,Food,MAY-2016,30.0
Uttar Pradesh,Allahabad,Onion,FAQ,Kg.,Food,MAY-2016,12.0
Uttar Pradesh,Gorakhpur,Onion,FAQ,Kg.,Food,MAY-2016,15.0
Uttar Pradesh,Kanpur,Onion,FAQ,Kg.,Food,MAY-2016,20.0
Uttar Pradesh,Lucknow,Onion,FAQ,Kg.,Food,MAY-2016,14.0
Uttar Pradesh,Saharanpur,Onion,FAQ,Kg.,Food,MAY-2016,18.0
West Bengal,Asansol,Onion,FAQ,Kg.,Food,MAY-2016,14.0
West Bengal,Howrah,Onion,FAQ,Kg.,Food,MAY-2016,15.0
West Bengal,Jalpaiguri,Onion,FAQ,Kg.,Food,MAY-2016,16.0
